"mu","est.mean","est.var","est.bias","mse.part","mse.sum.part","mae.part","est.esss","abserr.part","cov.part","hpd.part","model","min1","max1","min2","max2","min3","max3","min_simx","max_simx","num_iterations","numsources","diff1","diff2","outcome_type","truep","diff1_c","diff2_c"
0.5,0.500488669245897,0.00392087710735897,0.000488669245896967,0.00392111590499086,0.0039171950278835,0.0476753695669251,24.1499905899973,0.000488669245896967,NA,NA,"MEM",0,30,NA,NA,NA,NA,0,30,1000,2,0,NA,"binary",0.5,"Mean Difference SS1 = 0","Mean Difference SS2 = NA"
0.5,0.500444225486328,0.00242342888146534,0.000444225486328165,0.00242362621774805,0.00242120278886658,0.0370384611652649,32,0.000444225486328165,NA,NA,"relaxedMEM_allornothing",9,21,NA,NA,NA,NA,0,30,1000,2,0,NA,"binary",0.5,"Mean Difference SS1 = 0","Mean Difference SS2 = NA"
0.5,0.500172493155189,0.00312836141891426,0.000172493155188858,0.00312839117280285,0.00312526281138393,0.0440899053667107,24.8660433745772,0.000172493155188858,NA,NA,"relaxedMEM_max",7,23,NA,NA,NA,NA,0,30,1000,2,0,NA,"binary",0.5,"Mean Difference SS1 = 0","Mean Difference SS2 = NA"
0.5,0.500428867602231,0.00279553265041711,0.000428867602231153,0.00279571657783735,0.00279292104518694,0.0408140639169602,28.1912447439467,0.000428867602231153,NA,NA,"relaxedMEM_sqrtmax",8,22,NA,NA,NA,NA,0,30,1000,2,0,NA,"binary",0.5,"Mean Difference SS1 = 0","Mean Difference SS2 = NA"
0.5,0.500504633493616,0.00301511728838635,0.000504633493615847,0.00301537194334923,0.00301235682606084,0.0408078244840141,31.0605465411966,0.000504633493615847,NA,NA,"relaxedMEM_stretch1",0,30,NA,NA,NA,NA,0,30,1000,2,0,NA,"binary",0.5,"Mean Difference SS1 = 0","Mean Difference SS2 = NA"
0.5,0.500389259389007,0.0030679671383731,0.000389259389006802,0.00306811866124503,0.00306505069410666,0.0425762626804143,27.7778920336772,0.000389259389006802,NA,NA,"relaxedMEM_stretchsqrt",0,30,NA,NA,NA,NA,0,30,1000,2,0,NA,"binary",0.5,"Mean Difference SS1 = 0","Mean Difference SS2 = NA"
0.5,0.500488669245897,0.00392087710735897,0.000488669245896967,0.00392111590499086,0.0039171950278835,0.0476753695669251,24.1499905899973,0.000488669245896967,NA,NA,"relaxedMEM_twosource",0,30,NA,NA,NA,NA,0,30,1000,2,0,NA,"binary",0.5,"Mean Difference SS1 = 0","Mean Difference SS2 = NA"
0.5,0.510052084673202,0.00401968122431604,0.0100520846732015,0.00412072563059326,0.00411670594936894,0.0501204427247406,24.140641642541,0.0100520846732015,NA,NA,"MEM",0,30,NA,NA,NA,NA,0,30,1000,2,0.0333333333333333,NA,"binary",0.5,"Mean Difference SS1 = 0.03","Mean Difference SS2 = NA"
0.5,0.515292448708486,0.00258912213049685,0.0152924487084862,0.00282298111799853,0.00282039199586803,0.0400145157626603,32,0.0152924487084862,NA,NA,"relaxedMEM_allornothing",10,22,NA,NA,NA,NA,0,30,1000,2,0.0333333333333333,NA,"binary",0.5,"Mean Difference SS1 = 0.03","Mean Difference SS2 = NA"
0.5,0.512373239477012,0.00316978534974793,0.0123732394770122,0.00332288240490342,0.00331971261955368,0.0459468657478787,24.8779414240198,0.0123732394770122,NA,NA,"relaxedMEM_max",8,23,NA,NA,NA,NA,0,30,1000,2,0.0333333333333333,NA,"binary",0.5,"Mean Difference SS1 = 0.03","Mean Difference SS2 = NA"
