"model","mu","est.mean","est.var","est.bias","mse.part","mse.sum.part","mae.part","est.esss","abserr.part","cov.part","hpd.part","num_iterations","numsources","diff1","diff2","k","outcome_type","truep","diff1_c","diff2_c"
"MEM",0.5,0.500488669245897,0.00392087710735897,0.000488669245896967,0.00392111590499086,0.0039171950278835,0.0476753695669251,24.1499905899973,0.000488669245896967,NA,NA,1000,2,0,NA,0.9,"binary",0.5,"Mean Difference SS1 = 0","Mean Difference SS2 = NA"
"relaxedMEM_allornothing",0.5,0.500566660617441,0.00353960702655214,0.000566660617440817,0.00353992813080749,0.00353638852378094,0.0429614360509758,32,0.000566660617440817,NA,NA,1000,2,0,NA,0.9,"binary",0.5,"Mean Difference SS1 = 0","Mean Difference SS2 = NA"
"relaxedMEM_max",0.5,0.500516320197705,0.00386073844058641,0.000516320197704978,0.00386100502713297,0.00385714428869239,0.0471109249349163,24.8660433745771,0.000516320197704978,NA,NA,1000,2,0,NA,0.9,"binary",0.5,"Mean Difference SS1 = 0","Mean Difference SS2 = NA"
"relaxedMEM_sqrtmax",0.5,0.500539784320271,0.00370304369342592,0.000539784320271131,0.00370333506053833,0.0036996320168449,0.0451768108319665,28.1912447439467,0.000539784320271131,NA,NA,1000,2,0,NA,0.9,"binary",0.5,"Mean Difference SS1 = 0","Mean Difference SS2 = NA"
"relaxedMEM_stretch1",0.5,0.500530382869662,0.00360485142323707,0.000530382869662005,0.0036051327292255,0.00360152787780227,0.0437019812639307,31.0605465411966,0.000530382869662005,NA,NA,1000,2,0,NA,0.9,"binary",0.5,"Mean Difference SS1 = 0","Mean Difference SS2 = NA"
"relaxedMEM_stretchsqrt",0.5,0.50052360633799,0.00373487187983245,0.000523606337989979,0.00373514604342963,0.0037314111715498,0.0455050567539962,27.7778920336772,0.000523606337989979,NA,NA,1000,2,0,NA,0.9,"binary",0.5,"Mean Difference SS1 = 0","Mean Difference SS2 = NA"
"relaxedMEM_twosource",0.5,0.500488669245897,0.00392087710735897,0.000488669245896967,0.00392111590499086,0.0039171950278835,0.0476753695669251,24.1499905899973,0.000488669245896967,NA,NA,1000,2,0,NA,0.9,"binary",0.5,"Mean Difference SS1 = 0","Mean Difference SS2 = NA"
"MEM",0.5,0.510052084673202,0.00401968122431604,0.0100520846732015,0.00412072563059326,0.00411670594936894,0.0501204427247406,24.140641642541,0.0100520846732015,NA,NA,1000,2,0.0333333333333333,NA,0.9,"binary",0.5,"Mean Difference SS1 = 0.03","Mean Difference SS2 = NA"
"relaxedMEM_allornothing",0.5,0.511460268038427,0.00369765670432096,0.0114602680384275,0.00382899444783356,0.00382529679112924,0.0465937595872247,32,0.0114602680384275,NA,NA,1000,2,0.0333333333333333,NA,0.9,"binary",0.5,"Mean Difference SS1 = 0.03","Mean Difference SS2 = NA"
"relaxedMEM_max",0.5,0.510239993284431,0.00396605146462839,0.0102399932844314,0.00407090892709359,0.00406694287562896,0.0495706173367752,24.8779414240196,0.0102399932844314,NA,NA,1000,2,0.0333333333333333,NA,0.9,"binary",0.5,"Mean Difference SS1 = 0.03","Mean Difference SS2 = NA"
"relaxedMEM_sqrtmax",0.5,0.510808853311196,0.003833246636538,0.0108088533111961,0.00395007794644096,0.00394624469980442,0.0481828844728946,28.1980579952138,0.0108088533111961,NA,NA,1000,2,0.0333333333333333,NA,0.9,"binary",0.5,"Mean Difference SS1 = 0.03","Mean Difference SS2 = NA"
"relaxedMEM_stretch1",0.5,0.511213862200052,0.00375443591331952,0.0112138622000517,0.00388018661876126,0.00387643218284795,0.0473147493534476,31.0331737880432,0.0112138622000517,NA,NA,1000,2,0.0333333333333333,NA,0.9,"binary",0.5,"Mean Difference SS1 = 0.03","Mean Difference SS2 = NA"
"relaxedMEM_stretchsqrt",0.5,0.510699534201155,0.00386130158351888,0.0106995342011554,0.00397578161564058,0.00397192031405706,0.0485028469648648,27.7724513633498,0.0106995342011554,NA,NA,1000,2,0.0333333333333333,NA,0.9,"binary",0.5,"Mean Difference SS1 = 0.03","Mean Difference SS2 = NA"
"relaxedMEM_twosource",0.5,0.510052084673202,0.00401968122431604,0.0100520846732015,0.00412072563059326,0.00411670594936894,0.0501204427247406,24.140641642541,0.0100520846732015,NA,NA,1000,2,0.0333333333333333,NA,0.9,"binary",0.5,"Mean Difference SS1 = 0.03","Mean Difference SS2 = NA"
